product_title,source_site,product_url,description_clean,min_order_qty,sold_in_pairs,sold_in_packs,min_lineal_feet,unit_type,notes_raw_rules
Marvin Ultimate Glider,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/581,Video: Embedded video for WeFixitUSA,,no,,,each,
Awning,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/582,Video: Embedded video for WeFixitUSA,,no,,,each,
Infinity Replacement Awning,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/583,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity All Ultrex Awning,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/584,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity IMPACT Awning,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/585,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity Insert Replacement Awning,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/586,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity Wood-Ultrex Awning,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/587,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Contemporary Awning,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/588,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Ultimate Awning,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/589,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Doors,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/597,Video: Embedded video for WeFixitUSA,,no,,,each,
Swinging Patio,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/598,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity IMPACT Outswing French Door,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/599,Video: Embedded video for WeFixitUSA,,no,,,each,
Wood Sash Parts,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/6,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity Wood-Ultrex Inswing French Door,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/600,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity Wood-Ultrex Outswing French Door,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/601,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Ultimate Swinging Arch Top French Door,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/602,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Contemporary Door,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/603,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Ultimate Swinging French Door,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/604,Video: Embedded video for WeFixitUSA,,no,,,each,
Sliding Patio,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/605,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity Wood-Ultrex Sliding Patio Door,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/611,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Sliding Patio Door,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/612,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Ultimate Sliding French Door,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/613,Video: Embedded video for WeFixitUSA,,no,,,each,
Scenic,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/614,Video: Embedded video for WeFixitUSA,,no,,,each,
Weather Strip & Seals,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/7,Video: Embedded video for WeFixitUSA,,no,,,each,
Reviews & Ratings Colorado Springs,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/719,Video: Embedded video for WeFixitUSA,,no,,,each,
Truth and EntryGard Window Hardware,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/8,Video: Embedded video for WeFixitUSA,,no,,,each,
Door Handles and Hardware,biltbestwindowparts.com,http://biltbestwindowparts.com/catalog/9,Video: Embedded video for WeFixitUSA,,no,,,each,
Infinity Replacement Double Hung,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/566,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity IMPACT Double Hung,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/568,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Double Hung Chain and Pulley,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/571,Video: Embedded video for WeFixitUSA,,no,,,each,
Infinity Replacement Glider,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/578,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Ultimate Push Out Awning,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/590,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Ultimate Replacement Awning,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/591,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Ultimate Replacement Push Out Awning,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/592,Video: Embedded video for WeFixitUSA,,no,,,each,
Bay and Bow,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/593,Video: Embedded video for WeFixitUSA,,no,,,each,
Round Top,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/594,Video: Embedded video for WeFixitUSA,,no,,,each,
Shaped,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/595,Video: Embedded video for WeFixitUSA,,no,,,each,
Tilt Turn and Hopper,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/596,Video: Embedded video for WeFixitUSA,,no,,,each,
Infinity Sliding Patio Door,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/606,Video: Embedded video for WeFixitUSA,,no,,,each,
Infinity Sliding French Door,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/607,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity All Ultrex Sliding Patio Door,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/608,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity IMPACT Sliding French Door,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/609,Video: Embedded video for WeFixitUSA,,no,,,each,
Integrity Wood-Ultrex Sliding French Door,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/610,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Bi-Fold Door,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/615,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Ultimate Lift and Slide Door,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/616,Video: Embedded video for WeFixitUSA,,no,,,each,
Marvin Ultimate Multi-Slide Door,biltbestwindowparts.com,http://www.biltbestwindowparts.com/catalog/617,Video: Embedded video for WeFixitUSA,,no,,,each,
SCAMS & Rip-Offs Colorado Springs,biltbestwindowparts.com,https://biltbestwindowparts.com/catalog/720,Video: Embedded video for WeFixitUSA,,no,,,each,
1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,truthentrygard.com,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,"**For questions or concerns, please contact info@truthentrygard.com Description Choose your desired color for your window upgrade. Our pricing is per foot, up to 6 feet in length. Custom colors are also available upon request! Contact us via phone or email for a personalized quote. Description Choose your desired color for your window upgrade. Our pricing is per foot, up to 6 feet in length. Custom colors are also available upon request! Contact us via phone or email for a personalized quote. Description Choose your desired color for your window upgrade. Our pricing is per foot, up to 6 feet in length. Custom colors are also available upon request! Contact us via phone or email for a personalized quote.",,no,,,each,
1 3/8″ Wood Divided Lite Muntin Bar with Tape,truthentrygard.com,https://truthentrygard.com/product/1-3-8-wood-divided-lite-muntin-bar-with-tape/,"**For questions or concerns, please contact info@truthentrygard.com Description Priced per foot – up to 6′ Description Priced per foot – up to 6′ Description Priced per foot – up to 6′",,no,,,each,
1″ Aluminum Divided Lite Muntin Bar with Tape,truthentrygard.com,https://truthentrygard.com/product/1-aluminum-divided-lite-muntin-bar-with-tape/,"Description Elevate the charm of your windows with our 1″ Aluminum Divided Lite Muntin Bar with Tape, a timeless addition to any home. Priced per foot for lengths up to 6 feet, these muntin bars offer both elegance and practicality. Select your desired color to seamlessly integrate with your window frame, enhancing the architectural appeal of your space. Choose from our standard color options for a perfect match, or inquire about our custom color offerings for a personalized touch. Crafted with precision and durability in mind, our muntin bars add character and style to your windows, transforming them into focal points of beauty and sophistication. Experience the perfect blend of craftsmanship, customization, and quality today. Description Elevate the charm of your windows with our 1″ Aluminum Divided Lite Muntin Bar with Tape, a timeless addition to any home. Priced per foot for lengths up to 6 feet, these muntin bars offer both elegance and practicality. Select your desired color to seamlessly integrate with your window frame, enhancing the architectural appeal of your space. Choose from our standard color options for a perfect match, or inquire about our custom color offerings for a personalized touch. Crafted with precision and durability in mind, our muntin bars add character and style to your windows, transforming them into focal points of beauty and sophistication. Experience the perfect blend of craftsmanship, customization, and quality today. Description Elevate the charm of your windows with our 1″ Aluminum Divided Lite Muntin Bar with Tape, a timeless addition to any home. Priced per foot for lengths up to 6 feet, these muntin bars offer both elegance and practicality. Select your desired color to seamlessly integrate with your window frame, enhancing the architectural appeal of your space. Choose from our standard color options for a perfect match, or inquire about our custom color offerings for a personalized touch. Crafted with precision and durability in mind, our muntin bars add character and style to your windows, transforming them into focal points of beauty and sophistication. Experience the perfect blend of craftsmanship, customization, and quality today.",,no,,,each,
2R Window Limit Device,truthentrygard.com,https://truthentrygard.com/product/2r-window-limit-device/,"GOT QUESTIONS?! Contact us: info@truthentrygard.com Description Ensure your windows are safe and secure with the AmesburyTruth SafeGard™ 2R. This device meets the ASTM F2090 safety standards for preventing falls while allowing easy egress. Key Features : Safety Compliance : Meets ASTM F2090 standards for child fall prevention. Automatic Re-latch : Window re-latches automatically when closed. Limited Venting : Limits window opening to less than 4 inches. Easy Egress : Two-step release mechanism for emergency exit without tools. Unobtrusive Design : Concealed unit when window is closed. Easy Installation : Simple to install in both residential and commercial settings, with adjustments possible after installation. Durable Construction : Built-in adjustment features and durable components ensure long-lasting performance. Additional Details : Prevents a 4-inch diameter sphere from passing through the window. Dual action release mechanism for added safety. Maintains full compliance with egress requirements. Avoids interference with window operation and performance. Factory or field installation options available. Easy adjustments inside the home post-installation. Comes with stainless steel pan head screws for easy handling. Concealed arm design after release. Ordering Information : For use with casement windows only. Handing is determined by the side your window is hinged on when viewed from outside. Description Ensure your windows are safe and secure with the AmesburyTruth SafeGard™ 2R. This device meets the ASTM F2090 safety standards for preventing falls while allowing easy egress. Key Features : Safety Compliance : Meets ASTM F2090 standards for child fall prevention. Automatic Re-latch : Window re-latches automatically when closed. Limited Venting : Limits window opening to less than 4 inches. Easy Egress : Two-step release mechanism for emergency exit without tools. Unobtrusive Design : Concealed unit when window is closed. Easy Installation : Simple to install in both residential and commercial settings, with adjustments possible after installation. Durable Construction : Built-in adjustment features and durable components ensure long-lasting performance. Additional Details : Prevents a 4-inch diameter sphere from passing through the window. Dual action release mechanism for added safety. Maintains full compliance with egress requirements. Avoids interference with window operation and performance. Factory or field installation options available. Easy adjustments inside the home post-installation. Comes with stainless steel pan head screws for easy handling. Concealed arm design after release. Ordering Information : For use with casement windows only. Handing is determined by the side your window is hinged on when viewed from outside. Description Ensure your windows are safe and secure with the AmesburyTruth SafeGard™ 2R. This device meets the ASTM F2090 safety standards for preventing falls while allowing easy egress. Key Features : Safety Compliance : Meets ASTM F2090 standards for child fall prevention. Automatic Re-latch : Window re-latches automatically when closed. Limited Venting : Limits window opening to less than 4 inches. Easy Egress : Two-step release mechanism for emergency exit without tools. Unobtrusive Design : Concealed unit when window is closed. Easy Installation : Simple to install in both residential and commercial settings, with adjustments possible after installation. Durable Construction : Built-in adjustment features and durable components ensure long-lasting performance. Additional Details : Prevents a 4-inch diameter sphere from passing through the window. Dual action release mechanism for added safety. Maintains full compliance with egress requirements. Avoids interference with window operation and performance. Factory or field installation options available. Easy adjustments inside the home post-installation. Comes with stainless steel pan head screws for easy handling. Concealed arm design after release. Ordering Information : For use with casement windows only. Handing is determined by the side your window is hinged on when viewed from outside.",,no,,,each,
.300 Kerf Insert Weather-Strip Seal,truthentrygard.com,https://truthentrygard.com/product/300-kerf-insert-weather-strip-seal/,"Got Questions? Not sure what you need? Feel free to email: info@truthentrygard.com NOT SURE WHAT YOU NEED?!? EMAIL PICTURES AND WE WILL GET YOU TAKEN CARE OF! Description Weather Strip Seal for Guardian and Other Door Brands Enhance your door protection with our premium Weather Strip Seal, perfectly compatible with Guardian and various other door brands. Features: Waterproof Protection: Crafted with almost 100% closed-cell foam to effectively prevent water infiltration. UV Resistant: The durable exterior skin shields against harmful UV rays, ensuring long-lasting performance. Superior Sealing: Engineered to deliver a tight and secure seal, keeping your home insulated and protected. Specifications: Color Options: Available in classic black or white to match your door aesthetics. Variety of Sizes: Offered in rolls ranging from 100′ to 2500′ to suit different needs and applications. For pricing, availability, or any additional information, please reach out to us. We’re here to help you find the perfect weather-stripping solution for your doors. TO ORDER GO TO: www.biltbestwindowparts.com Description Weather Strip Seal for Guardian and Other Door Brands Enhance your door protection with our premium Weather Strip Seal, perfectly compatible with Guardian and various other door brands. Features: Waterproof Protection: Crafted with almost 100% closed-cell foam to effectively prevent water infiltration. UV Resistant: The durable exterior skin shields against harmful UV rays, ensuring long-lasting performance. Superior Sealing: Engineered to deliver a tight and secure seal, keeping your home insulated and protected. Specifications: Color Options: Available in classic black or white to match your door aesthetics. Variety of Sizes: Offered in rolls ranging from 100′ to 2500′ to suit different needs and applications. For pricing, availability, or any additional information, please reach out to us. We’re here to help you find the perfect weather-stripping solution for your doors. TO ORDER GO TO: www.biltbestwindowparts.com Description Weather Strip Seal for Guardian and Other Door Brands Enhance your door protection with our premium Weather Strip Seal, perfectly compatible with Guardian and various other door brands. Features: Waterproof Protection: Crafted with almost 100% closed-cell foam to effectively prevent water infiltration. UV Resistant: The durable exterior skin shields against harmful UV rays, ensuring long-lasting performance. Superior Sealing: Engineered to deliver a tight and secure seal, keeping your home insulated and protected. Specifications: Color Options: Available in classic black or white to match your door aesthetics. Variety of Sizes: Offered in rolls ranging from 100′ to 2500′ to suit different needs and applications. For pricing, availability, or any additional information, please reach out to us. We’re here to help you find the perfect weather-stripping solution for your doors. TO ORDER GO TO: www.biltbestwindowparts.com",,no,,,each,
Skylight Systems | 3ft Pole Extension,truthentrygard.com,https://truthentrygard.com/product/3ft-pole-extension/,"**For questions or concerns, please contact info@truthentrygard.com Description Extend your reach effortlessly with our 3ft Pole Extension, designed to be used seamlessly with our Telescoping Pole #10637. Whether you’re tackling high-reaching tasks or accessing hard-to-reach areas, this extension pole provides the extra length you need for convenience and versatility. Crafted with durability and performance in mind, our pole extension ensures stability and reliability during use. Simply attach it to the Telescoping Pole #10637 for extended reach, allowing you to complete tasks with ease and precision. Upgrade your toolkit with this essential accessory for enhanced efficiency and effectiveness. Description Extend your reach effortlessly with our 3ft Pole Extension, designed to be used seamlessly with our Telescoping Pole #10637. Whether you’re tackling high-reaching tasks or accessing hard-to-reach areas, this extension pole provides the extra length you need for convenience and versatility. Crafted with durability and performance in mind, our pole extension ensures stability and reliability during use. Simply attach it to the Telescoping Pole #10637 for extended reach, allowing you to complete tasks with ease and precision. Upgrade your toolkit with this essential accessory for enhanced efficiency and effectiveness. Description Extend your reach effortlessly with our 3ft Pole Extension, designed to be used seamlessly with our Telescoping Pole #10637. Whether you’re tackling high-reaching tasks or accessing hard-to-reach areas, this extension pole provides the extra length you need for convenience and versatility. Crafted with durability and performance in mind, our pole extension ensures stability and reliability during use. Simply attach it to the Telescoping Pole #10637 for extended reach, allowing you to complete tasks with ease and precision. Upgrade your toolkit with this essential accessory for enhanced efficiency and effectiveness.",,no,,,each,
Compression Weather Strip Seals | Kerf Bulb Type,truthentrygard.com,https://truthentrygard.com/product/4148/,"Got Questions? Not sure what you need? Feel free to email: info@truthentrygard.com NOT SURE WHAT YOU NEED?!? EMAIL PICTURES AND WE WILL GET YOU TAKEN CARE OF! Description This tan-only compression bubble style kerf weather strip is designed for various window styles including double hung, single hung, casement, awning, and some sliders. It provides a specialized compression seal between components such as meeting rails, frame perimeters, window sashes, stiles, and rails. Specifications: Diameter: .250 inches Length: Fifty (50′) feet rolls Additional Information: Available in Other Sizes: Also available in .300 bulb diameter. TO ORDER GO TO: www.biltbestwindowparts.com Description This tan-only compression bubble style kerf weather strip is designed for various window styles including double hung, single hung, casement, awning, and some sliders. It provides a specialized compression seal between components such as meeting rails, frame perimeters, window sashes, stiles, and rails. Specifications: Diameter: .250 inches Length: Fifty (50′) feet rolls Additional Information: Available in Other Sizes: Also available in .300 bulb diameter. TO ORDER GO TO: www.biltbestwindowparts.com Description This tan-only compression bubble style kerf weather strip is designed for various window styles including double hung, single hung, casement, awning, and some sliders. It provides a specialized compression seal between components such as meeting rails, frame perimeters, window sashes, stiles, and rails. Specifications: Diameter: .250 inches Length: Fifty (50′) feet rolls Additional Information: Available in Other Sizes: Also available in .300 bulb diameter. TO ORDER GO TO: www.biltbestwindowparts.com",,no,,,each,
7/8″ Aluminum Divided Lite Muntin Bar with Tape,truthentrygard.com,https://truthentrygard.com/product/7-8-aluminum-divided-lite-muntin-bar-with-tape/,"**For questions or concerns, please contact info@truthentrygard.com Description Enhance the aesthetics of your windows with our 7/8″ Aluminum Divided Lite Muntin Bar with Tape, priced per lineal foot for lengths up to 6 feet. Designed to add a touch of sophistication and charm to your windows, these muntin bars feature a durable aluminum construction for long-lasting durability. The included tape ensures easy installation, allowing you to achieve a professional look with minimal effort. Additionally, custom colors are available to suit your specific preferences. For personalized assistance and pricing details, please don’t hesitate to reach out to us for a quote. Upgrade your windows with our elegant muntin bars and transform your space with style and functionality. Description Enhance the aesthetics of your windows with our 7/8″ Aluminum Divided Lite Muntin Bar with Tape, priced per lineal foot for lengths up to 6 feet. Designed to add a touch of sophistication and charm to your windows, these muntin bars feature a durable aluminum construction for long-lasting durability. The included tape ensures easy installation, allowing you to achieve a professional look with minimal effort. Additionally, custom colors are available to suit your specific preferences. For personalized assistance and pricing details, please don’t hesitate to reach out to us for a quote. Upgrade your windows with our elegant muntin bars and transform your space with style and functionality. Description Enhance the aesthetics of your windows with our 7/8″ Aluminum Divided Lite Muntin Bar with Tape, priced per lineal foot for lengths up to 6 feet. Designed to add a touch of sophistication and charm to your windows, these muntin bars feature a durable aluminum construction for long-lasting durability. The included tape ensures easy installation, allowing you to achieve a professional look with minimal effort. Additionally, custom colors are available to suit your specific preferences. For personalized assistance and pricing details, please don’t hesitate to reach out to us for a quote. Upgrade your windows with our elegant muntin bars and transform your space with style and functionality.",,no,,,each,
7/8″ Wood Divided Lite Muntin,truthentrygard.com,https://truthentrygard.com/product/7-8-wood-divided-lite-muntin/,"**For questions or concerns, please contact info@truthentrygard.com Description Priced per foot, up to 6′. Description Priced per foot, up to 6′. Description Priced per foot, up to 6′.",,no,,,each,
