sku,name,description,price,originalPrice,category,supplier,imageUrl,inStock,tags,compatibleBrands,specifications
AWDP-60G311726RLPTB,Entrygard Awning Window Operator Assembly | Model: RL-168,Got Questions? Not sure what you need? Feel free to email: info@truthentrygard.com NOT SURE WHAT YOU NEED?!? EMAIL PICTURES AND WE WILL GET YOU TAKEN CARE OF!,153.5,$ 151.23,Double / Single Hung Parts(16),truthentrygard,,true,,,
AWDP-197S65CJ7M895N02S06S,Sash Carrier Track | Jambliner Kits,"For questions or concerns, please contact info@truthentrygard.com",304.01,$ 299.52,Double / Single Hung Parts(16),truthentrygard,,true,,,
AWDP-60G88N4AR,Window Nailing Flange / Fin Replacement Parts,"For questions or concerns, please contact info@truthentrygard.com",118.04,$ 116.30,Double / Single Hung Parts(16),truthentrygard,,true,,,
AWDP-60G8821E242L,"Window Weatherstrip, Vertical L Offset – 100′ Roll","For questions or concerns, please contact info@truthentrygard.com",135.49,$ 133.49,Double / Single Hung Parts(16),truthentrygard,,true,,,
AWDP-60GOTREIOTRETP0R0O0,Casement Window Operators – Ellipse Styles | All Colors All Finishes | All Lengths 7.5″ 9.5″ and 13.5″ Arm,"For questions or concerns, please contact info@truthentrygard.com",63.1,$ 62.17,Door Handles and Hardware(9),truthentrygard,,true,,,
AWDP-60GMU965135N6M3265S093CKS,Hard To Find Obsolete Rare Old Door Parts | Mortise Locks | Muti-Point Lock Parts,"Obsolete door parts, hard-to-find parts, Door parts, Mortise Locks, Multi-Point Locks, Multi Point Hardware, Door Replacement hardware, Locks, Hinges, repair parts, from the 1950’s, 1960’s, 1970’s, 1980’s, 1990’s, and 2000’s — with more than 160,000 replacement and hardware parts for doors.",191.73,$ 188.90,Door Handles and Hardware(9),truthentrygard,,true,,,
AWDP-60G8821EEEFA,Patio Door Adjustable Hinge,Please Specify LH or RH Hinged Patio Door Adjustable Hinge.,90.21,$ 88.88,Door Handles and Hardware(9),truthentrygard,,true,,,
AWDP-60G8821EEEIE,Rolling Patio Door Footbolt,,123.71,$ 121.88,Door Handles and Hardware(9),truthentrygard,,true,,,
AWDP-60G8821EEEIP,Rolling Patio Door Locking Mechanism,,41.24,$ 40.63,Door Handles and Hardware(9),truthentrygard,,true,,,
AWDP-60G36OTBP,Truth Maxim Series Dual Arm Operators | Right & Left-Handed Options and Various Finishes,Got Questions? Not sure what you need? Feel free to email: info@truthentrygard.com NOT SURE WHAT YOU NEED?!? EMAIL PICTURES AND WE WILL GET YOU TAKEN CARE OF!,90.21,$ 88.88,Door Handles and Hardware(9),truthentrygard,,true,,,
AWDP-60G8821EEEPB,Casement Operator Cover with Folding Handle,"**For questions or concerns, please contact info@truthentrygard.com",46.1,$ 45.42,Cranks and Handle Hardware(113),truthentrygard,,true,,,
AWDP-31027632S,Operators,"Video: <a href=""https://www.youtube.com/embed/Mdwg9CjQtDM?wmode=opaque"">Embedded video for WeFixitUSA / All Window Door Parts GROUP - Truth and Entry-Gard</a>",59.43,$58.55,,allbrand,,true,,,
AWDP-8797NC0SS5NG90D3U890HUNG,Balances - Single Double Hung,"Video: <a href=""https://www.youtube.com/embed/Mdwg9CjQtDM?wmode=opaque"">Embedded video for WeFixitUSA / All Window Door Parts GROUP - Truth and Entry-Gard</a>",171.41,$168.88,,allbrand,,true,,,
AWDP-17653D3321726S,Patio Door Parts,"Video: <a href=""https://www.youtube.com/embed/Mdwg9CjQtDM?wmode=opaque"">Embedded video for WeFixitUSA / All Window Door Parts GROUP - Truth and Entry-Gard</a>",223.29,$219.99,,allbrand,,true,,,
AWDP-C27NKS7NDH7ND90H72DW720,Cranks and Handle Hardware,"Video: <a href=""https://www.youtube.com/embed/Mdwg9CjQtDM?wmode=opaque"">Embedded video for WeFixitUSA / All Window Door Parts GROUP - Truth and Entry-Gard</a>",140.96,$138.88,,allbrand,,true,,,
AWDP-W5ND3WG97Z5NG807D,Window Glazing Bead,"Video: <a href=""https://www.youtube.com/embed/Mdwg9CjQtDM?wmode=opaque"">Embedded video for WeFixitUSA / All Window Door Parts GROUP - Truth and Entry-Gard</a>",226.09,$222.75,,allbrand,,true,,,
AWDP-S0CU256YH72DW720,Security Hardware,"Video: <a href=""https://www.youtube.com/embed/Mdwg9CjQtDM?wmode=opaque"">Embedded video for WeFixitUSA / All Window Door Parts GROUP - Truth and Entry-Gard</a>",293.21,$288.88,,allbrand,,true,,,
AWDP-17653D332H7ND90S,Patio Door handles,"Video: <a href=""https://www.youtube.com/embed/Mdwg9CjQtDM?wmode=opaque"">Embedded video for WeFixitUSA / All Window Door Parts GROUP - Truth and Entry-Gard</a>",1003.71,$988.88,,allbrand,,true,,,
